model,event_keyword,mapped_grids,actual_delayed_rate,pred_delayed_prob_mean,pred_delayed_prob_p90,pred_delayed_prob_min,pred_delayed_prob_max
transformer,fani,127284,0.2113541372049904,0.1669772863388061,0.9223481595516204,4.4396841985872015e-05,0.9998213648796082
gru,fani,127284,0.2113541372049904,0.1030092686414718,0.5237160325050353,6.6458882841402556e-09,0.9999207258224488
tcn,fani,127284,0.2113541372049904,0.1075595542788505,0.5228128671646108,2.2876491350657012e-14,1.0
lgbm,fani,127284,0.2113541372049904,0.4805118890087231,0.6778446452771213,0.0659094923464178,0.9038919597239036
ensemble,fani,127284,0.2113541372049904,0.2516829035786231,0.6150754689811845,0.0224270939457406,0.9614741909676
